Domain,Construct,Definition,Relevance
Individual,Performance Expectancy,The degree to which using ICT enhances learning outcomes and performance.,"Students' belief that ICT tools improve their academic achievement (e.g., digital learning resources for homework)."
,Effort Expectancy,The perceived ease of using ICT for learning purposes.,"Students' perceived ease of using ICT tools (e.g., accessing platforms, completing assignments)."
,Social Influence,"The degree to which peers, teachers, or parents influence ICT use.","Influence of peers, teachers, and parents on students' ICT behaviors and attitudes."
,Facilitating Conditions,Perceived availability of support and resources for ICT use.,"Perceptions of ICT availability, technical support, and teacher guidance in facilitating learning."
,Hedonic Motivation,Enjoyment derived from using ICT for learning or leisure purposes.,"Students' enjoyment of ICT use for educational games, creative projects, or entertainment outside school."
,Habit,The extent to which ICT use has become automatic or habitual.,"Students' consistent use of ICT tools for learning, entertainment, or communication."
,Price Value,"The cost-benefit analysis of using ICT resources (e.g., time, money).",Students' perceptions of affordability and value in accessing ICT tools or resources.
Group/Class,Performance Expectancy,ICT use among peers under teacher guidance improves collective performance.,"Use of ICT tools to enhance group work, class projects, and peer collaboration within teacher-supervised settings."
,Social Influence,Influence of teachers and peers in classroom ICT use.,Teachers' and peers’ encouragement to integrate ICT into classroom activities.
,Facilitating Conditions,Availability of ICT tools and teacher support in the classroom environment.,"Teachers ensuring ICT access (e.g., laptops, tablets) and providing technical or instructional support."
Organisation/ School,Facilitating Conditions,"Availability of ICT infrastructure, support, and training at the school level.","Presence of technical support staff, teacher training, and robust ICT infrastructure (hardware and software)."
,Social Influence,Teachers' and school leadership’s influence on ICT integration.,"Teachers modeling ICT integration, and leadership promoting school-wide ICT policies and initiatives."
,Performance Expectancy,Schools’ emphasis on ICT improving student and teacher outcomes.,School leadership fostering ICT use to improve teaching effectiveness and student performance.
,Effort Expectancy,Teachers' and schools' promotion of ICT as easy to use for learning.,"Efforts to make ICT tools intuitive, accessible, and manageable for both students and teachers."
Organisation/ Family,Facilitating Conditions,Availability of ICT tools and internet access at home.,"Access to devices, broadband, and parental support for ICT use in the household."
,Social Influence,Influence of parents in encouraging and monitoring ICT use.,"Parental attitudes, guidance, and monitoring of ICT use for learning or leisure purposes."
,Performance Expectancy,Parents' perception of ICT as beneficial for their child’s learning.,Parents' belief in ICT improving their child’s academic performance and future opportunities.
,Effort Expectancy,Parents’ view of ICT tools as easy for their children to use.,"Parents' encouragement based on ICT ease of use, accessibility, and manageability."
Organisation/ Society,Facilitating Conditions,"Broader ICT access, affordability, and infrastructure in society.","Local or national ICT infrastructure such as broadband coverage, affordable resources, and access to ICT tools."
,Social Influence,Influence of societal norms and policies promoting ICT integration.,"Regulatory environments, government initiatives, and public campaigns encouraging ICT in education."
,Price Value,Affordability and perceived societal benefit of ICT use.,"Societal perception of ICT as affordable, valuable, and critical for education and economic advancement."
Output,Cognitive Learning Outcomes,"Student achievement in core subjects such as mathematics, reading, and science.",Measures the academic benefits of ICT usage on student performance.
,ICT Competencies,"Students' digital literacy, problem-solving skills, and self-efficacy in using ICT tools.",Assesses how well students are prepared to thrive in technology-rich learning environments.
,Well-Being Outcomes,"Impacts of ICT use on students’ mental, emotional, and social well-being.",Evaluates whether ICT use has positive or negative effects on students' well-being and emotional health.
