Variable_Name,Change_Type,Change_Description,Reason_Method
SUBNATIO,Dropped,Removed due to >50% missing data,Missingness
SCHOOLID,Dropped,Removed due to >50% missing data,Missingness
STIDSTD,Dropped,Removed due to >50% missing data,Missingness
CNT,Dropped,Removed due to >50% missing data,Missingness
COUNTRY,Dropped,Removed due to >50% missing data,Missingness
OECD,Dropped,Removed due to >50% missing data,Missingness
ST01Q01,Dropped,Removed due to >50% missing data,Missingness
ST02Q01,Dropped,Removed due to >50% missing data,Missingness
ST03Q02,Dropped,Removed due to >50% missing data,Missingness
ST03Q03,Dropped,Removed due to >50% missing data,Missingness
ST04Q01,Dropped,Removed due to >50% missing data,Missingness
ST05Q01,Dropped,Removed due to >50% missing data,Missingness
ST06Q01,Dropped,Removed due to >50% missing data,Missingness
ST07Q01,Dropped,Removed due to >50% missing data,Missingness
ST07Q02,Dropped,Removed due to >50% missing data,Missingness
ST07Q03,Dropped,Removed due to >50% missing data,Missingness
ST08Q01,Dropped,Removed due to >50% missing data,Missingness
ST09Q01,Dropped,Removed due to >50% missing data,Missingness
ST10Q01,Dropped,Removed due to >50% missing data,Missingness
ST10Q02,Dropped,Removed due to >50% missing data,Missingness
ST10Q03,Dropped,Removed due to >50% missing data,Missingness
ST11Q01,Dropped,Removed due to >50% missing data,Missingness
ST11Q02,Dropped,Removed due to >50% missing data,Missingness
ST11Q03,Dropped,Removed due to >50% missing data,Missingness
ST11Q04,Dropped,Removed due to >50% missing data,Missingness
ST12Q01,Dropped,Removed due to >50% missing data,Missingness
ST13Q01,Dropped,Removed due to >50% missing data,Missingness
ST13Q02,Dropped,Removed due to >50% missing data,Missingness
ST13Q03,Dropped,Removed due to >50% missing data,Missingness
ST13Q04,Dropped,Removed due to >50% missing data,Missingness
ST13Q05,Dropped,Removed due to >50% missing data,Missingness
ST13Q06,Dropped,Removed due to >50% missing data,Missingness
ST13Q07,Dropped,Removed due to >50% missing data,Missingness
ST13Q08,Dropped,Removed due to >50% missing data,Missingness
ST13Q09,Dropped,Removed due to >50% missing data,Missingness
ST13Q10,Dropped,Removed due to >50% missing data,Missingness
ST13Q11,Dropped,Removed due to >50% missing data,Missingness
ST13Q12,Dropped,Removed due to >50% missing data,Missingness
ST13Q13,Dropped,Removed due to >50% missing data,Missingness
ST13Q14,Dropped,Removed due to >50% missing data,Missingness
ST13Q15,Dropped,Removed due to >50% missing data,Missingness
ST13Q16,Dropped,Removed due to >50% missing data,Missingness
ST13Q17,Dropped,Removed due to >50% missing data,Missingness
ST14Q01,Dropped,Removed due to >50% missing data,Missingness
ST14Q02,Dropped,Removed due to >50% missing data,Missingness
ST14Q03,Dropped,Removed due to >50% missing data,Missingness
ST14Q04,Dropped,Removed due to >50% missing data,Missingness
ST15Q01,Dropped,Removed due to >50% missing data,Missingness
ST16Q01,Dropped,Removed due to >50% missing data,Missingness
ST16Q02,Dropped,Removed due to >50% missing data,Missingness
ST16Q03,Dropped,Removed due to >50% missing data,Missingness
ST16Q04,Dropped,Removed due to >50% missing data,Missingness
ST16Q05,Dropped,Removed due to >50% missing data,Missingness
ST17Q01,Dropped,Removed due to >50% missing data,Missingness
ST17Q02,Dropped,Removed due to >50% missing data,Missingness
ST17Q03,Dropped,Removed due to >50% missing data,Missingness
ST17Q04,Dropped,Removed due to >50% missing data,Missingness
ST17Q05,Dropped,Removed due to >50% missing data,Missingness
ST17Q06,Dropped,Removed due to >50% missing data,Missingness
ST17Q07,Dropped,Removed due to >50% missing data,Missingness
ST17Q08,Dropped,Removed due to >50% missing data,Missingness
ST18Q01,Dropped,Removed due to >50% missing data,Missingness
ST18Q02,Dropped,Removed due to >50% missing data,Missingness
ST18Q03,Dropped,Removed due to >50% missing data,Missingness
ST18Q04,Dropped,Removed due to >50% missing data,Missingness
ST18Q05,Dropped,Removed due to >50% missing data,Missingness
ST18Q06,Dropped,Removed due to >50% missing data,Missingness
ST18Q07,Dropped,Removed due to >50% missing data,Missingness
ST18Q08,Dropped,Removed due to >50% missing data,Missingness
ST18Q09,Dropped,Removed due to >50% missing data,Missingness
ST18Q10,Dropped,Removed due to >50% missing data,Missingness
ST19Q01,Dropped,Removed due to >50% missing data,Missingness
ST19Q02,Dropped,Removed due to >50% missing data,Missingness
ST19Q03,Dropped,Removed due to >50% missing data,Missingness
ST19Q04,Dropped,Removed due to >50% missing data,Missingness
ST19Q05,Dropped,Removed due to >50% missing data,Missingness
ST19Q06,Dropped,Removed due to >50% missing data,Missingness
ST20QA1,Dropped,Removed due to >50% missing data,Missingness
ST20QA2,Dropped,Removed due to >50% missing data,Missingness
ST20QA3,Dropped,Removed due to >50% missing data,Missingness
ST20QA4,Dropped,Removed due to >50% missing data,Missingness
ST20QA5,Dropped,Removed due to >50% missing data,Missingness
ST20QA6,Dropped,Removed due to >50% missing data,Missingness
ST20QB1,Dropped,Removed due to >50% missing data,Missingness
ST20QB2,Dropped,Removed due to >50% missing data,Missingness
ST20QB3,Dropped,Removed due to >50% missing data,Missingness
ST20QB4,Dropped,Removed due to >50% missing data,Missingness
ST20QB5,Dropped,Removed due to >50% missing data,Missingness
ST20QB6,Dropped,Removed due to >50% missing data,Missingness
ST20QC1,Dropped,Removed due to >50% missing data,Missingness
ST20QC2,Dropped,Removed due to >50% missing data,Missingness
ST20QC3,Dropped,Removed due to >50% missing data,Missingness
ST20QC4,Dropped,Removed due to >50% missing data,Missingness
ST20QC5,Dropped,Removed due to >50% missing data,Missingness
ST20QC6,Dropped,Removed due to >50% missing data,Missingness
ST20QD1,Dropped,Removed due to >50% missing data,Missingness
ST20QD2,Dropped,Removed due to >50% missing data,Missingness
ST20QD3,Dropped,Removed due to >50% missing data,Missingness
ST20QD4,Dropped,Removed due to >50% missing data,Missingness
ST20QD5,Dropped,Removed due to >50% missing data,Missingness
ST20QD6,Dropped,Removed due to >50% missing data,Missingness
ST20QE1,Dropped,Removed due to >50% missing data,Missingness
ST20QE2,Dropped,Removed due to >50% missing data,Missingness
ST20QE3,Dropped,Removed due to >50% missing data,Missingness
ST20QE4,Dropped,Removed due to >50% missing data,Missingness
ST20QE5,Dropped,Removed due to >50% missing data,Missingness
ST20QE6,Dropped,Removed due to >50% missing data,Missingness
ST20QF1,Dropped,Removed due to >50% missing data,Missingness
ST20QF2,Dropped,Removed due to >50% missing data,Missingness
ST20QF3,Dropped,Removed due to >50% missing data,Missingness
ST20QF4,Dropped,Removed due to >50% missing data,Missingness
ST20QF5,Dropped,Removed due to >50% missing data,Missingness
ST20QF6,Dropped,Removed due to >50% missing data,Missingness
ST20QG1,Dropped,Removed due to >50% missing data,Missingness
ST20QG2,Dropped,Removed due to >50% missing data,Missingness
ST20QG3,Dropped,Removed due to >50% missing data,Missingness
ST20QG4,Dropped,Removed due to >50% missing data,Missingness
ST20QG5,Dropped,Removed due to >50% missing data,Missingness
ST20QG6,Dropped,Removed due to >50% missing data,Missingness
ST20QH1,Dropped,Removed due to >50% missing data,Missingness
ST20QH2,Dropped,Removed due to >50% missing data,Missingness
ST20QH3,Dropped,Removed due to >50% missing data,Missingness
ST20QH4,Dropped,Removed due to >50% missing data,Missingness
ST20QH5,Dropped,Removed due to >50% missing data,Missingness
ST20QH6,Dropped,Removed due to >50% missing data,Missingness
ST21Q01,Dropped,Removed due to >50% missing data,Missingness
ST21Q02,Dropped,Removed due to >50% missing data,Missingness
ST21Q03,Dropped,Removed due to >50% missing data,Missingness
ST21Q04,Dropped,Removed due to >50% missing data,Missingness
ST21Q05,Dropped,Removed due to >50% missing data,Missingness
ST21Q06,Dropped,Removed due to >50% missing data,Missingness
ST21Q07,Dropped,Removed due to >50% missing data,Missingness
ST21Q08,Dropped,Removed due to >50% missing data,Missingness
ST22Q01,Dropped,Removed due to >50% missing data,Missingness
ST22Q02,Dropped,Removed due to >50% missing data,Missingness
ST22Q03,Dropped,Removed due to >50% missing data,Missingness
ST22Q04,Dropped,Removed due to >50% missing data,Missingness
ST22Q05,Dropped,Removed due to >50% missing data,Missingness
ST23QA1,Dropped,Removed due to >50% missing data,Missingness
ST23QA2,Dropped,Removed due to >50% missing data,Missingness
ST23QA3,Dropped,Removed due to >50% missing data,Missingness
ST23QA4,Dropped,Removed due to >50% missing data,Missingness
ST23QA5,Dropped,Removed due to >50% missing data,Missingness
ST23QA6,Dropped,Removed due to >50% missing data,Missingness
ST23QB1,Dropped,Removed due to >50% missing data,Missingness
ST23QB2,Dropped,Removed due to >50% missing data,Missingness
ST23QB3,Dropped,Removed due to >50% missing data,Missingness
ST23QB4,Dropped,Removed due to >50% missing data,Missingness
ST23QB5,Dropped,Removed due to >50% missing data,Missingness
ST23QB6,Dropped,Removed due to >50% missing data,Missingness
ST23QC1,Dropped,Removed due to >50% missing data,Missingness
ST23QC2,Dropped,Removed due to >50% missing data,Missingness
