"Variable","Missing_Percentage"
"COUNTRY",0
"CNT",0
"SCHOOLID",0
"STIDSTD",0
"SUBNATIO",0
"ST01Q02",0
"ST01Q03",0
"ST02Q01",0
"ST03Q01",0
"ST04Q01",0
"ST04Q02",0
"ST04Q03",0
"ST04Q04",0
"ST04Q05",0
"ST04Q06",0
"ST04Q07",0
"ST04Q08",0
"ST05Q01",0
"ST05Q02",0
"ST05Q03",0
"ST06Q01",0
"ST07Q01",0
"ST09Q01",0
"ST11Q01",0
"ST12Q01",0
"ST13Q01",0
"ST14Q01",0
"ST15Q01",0
"ST16Q01",0
"ST16Q02",0
"ST16Q03",0
"ST17Q01",0
"ST18Q01",0
"ST18Q02",0
"ST18Q03",0
"ST18Q04",0
"ST18Q05",0
"ST18Q06",0
"ST19Q01",0
"ST19Q02",0
"ST19Q03",0
"ST19Q04",0
"ST19Q05",0
"ST19Q06",0
"ST20Q01",0
"ST20Q02",0
"ST20Q03",0
"ST20Q04",0
"ST20Q05",0
"ST20Q06",0
"ST21Q01",0
"ST21Q02",0
"ST21Q03",0
"ST21Q04",0
"ST21Q05",0
"ST21Q06",0
"ST21Q07",0
"ST21Q08",0
"ST21Q09",0
"ST21Q10",0
"ST21Q11",0
"ST22Q01",0
"ST22Q02",0
"ST22Q03",0
"ST22Q04",0
"ST22Q05",0
"ST22Q06",0
"ST22Q07",0
"ST23Q01",0
"ST23Q02",0
"ST23Q03",0
"ST23Q04",0
"ST24Q01",0
"ST24Q02",0
"ST24Q03",0
"ST24Q04",0
"ST24Q05",0
"ST24Q06",0
"ST24Q07",0
"ST25Q01",0
"ST26Q01",0
"ST26Q02",0
"ST26Q03",0
"ST26Q04",0
"ST26Q05",0
"ST26Q06",0
"ST26Q07",0
"ST26Q08",0
"ST26Q09",0
"ST26Q10",0
"ST26Q11",0
"ST26Q12",0
"ST26Q13",0
"ST26Q14",0
"ST26Q15",0
"ST26Q16",0
"ST26Q17",0
"ST27Q01",0
"ST27Q02",0
"ST27Q03",0
"ST27Q04",0
"ST27Q05",0
"ST27Q06",0
"ST28Q01",0
"ST28Q02",0
"ST28Q03",0
"ST29Q01",0
"ST29Q02",0
"ST29Q03",0
"ST30Q01",0
"ST30Q02",0
"ST30Q03",0
"ST30Q04",0
"ST30Q05",0
"ST31Q01",0
"ST31Q02",0
"ST31Q03",0
"ST31Q04",0
"ST31Q05",0
"ST31Q06",0
"ST31Q07",0
"ST31Q08",0
"ST32Q01",0
"ST32Q02",0
"ST32Q03",0
"ST32Q04",0
"ST32Q05",0
"ST32Q06",0
"ST32Q07",0
"ST33Q01",0
"ST33Q02",0
"ST33Q03",0
"ST34Q01",0
"ST35Q01",0
"ST35Q02",0
"ST35Q03",0
"ST35Q04",0
"ST35Q05",0
"ST35Q06",0
"ST35Q07",0
"ST35Q08",0
"ST35Q09",0
"ST36Q01",0
"ST36Q02",0
"ST36Q03",0
"ST36Q04",0
"ST36Q05",0
"ST36Q06",0
"ST37Q01",0
"ST38Q01",0
"ST39Q01",0
"ST39Q02",0
"ST39Q03",0
"ST39Q04",0
"ST39Q05",0
"ST40Q01",0
"ST41Q01",0
"ST41Q02",0
"ST41Q03",0
"ST41Q04",0
"ST41Q05",0
"ST41Q06",0
"ST41Q07",0
"ST41Q08",0
"ST41Q09",0
"BMMJ",0
"BFMJ",0
"BTHR",0
"IT01Q01",0
"IT01Q02",0
"IT01Q03",0
"IT01Q04",0
"IT02Q01",0
"IT02Q02",0
"IT02Q03",0
"IT03Q01",0
"IT04Q01",0
"IT04Q02",0
"IT04Q03",0
"IT04Q04",0
"IT05Q01",0
"IT05Q02",0
"IT05Q03",0
"IT05Q04",0
"IT06Q01",0
"IT06Q02",0
"IT06Q03",0
"IT06Q04",0
"IT06Q05",0
"IT07Q01",0
"IT08Q01",0
"IT09Q01",0
"IT10Q01",0
"CC01Q01",0
"CC01Q02",0
"CC01Q03",0
"CC01Q04",0
"CC01Q05",0
"CC01Q06",0
"CC01Q07",0
"CC01Q08",0
"CC01Q09",0
"CC01Q10",0
"CC01Q11",0
"CC01Q12",0
"CC01Q13",0
"CC01Q14",0
"CC01Q15",0
"CC01Q16",0
"CC01Q17",0
"CC01Q18",0
"CC01Q19",0
"CC01Q20",0
"CC01Q21",0
"CC01Q22",0
"CC01Q23",0
"CC01Q24",0
"CC01Q25",0
"CC01Q26",0
"CC01Q27",0
"CC01Q28",0
"CC02Q01",0
"CC02Q02",0
"CC02Q03",0
"CC02Q04",0
"CC02Q05",0
"CC02Q06",0
"CC02Q07",0
"CC02Q08",0
"CC02Q09",0
"CC02Q10",0
"CC02Q11",0
"CC02Q12",0
"CC02Q13",0
"CC02Q14",0
"CC02Q15",0
"CC02Q16",0
"CC02Q17",0
"CC02Q18",0
"CC02Q19",0
"CC02Q20",0
"CC02Q21",0
"CC02Q22",0
"CC02Q23",0
"CC02Q24",0
"rmins",0
"mmins",0
"smins",0
"age",0
"famstruc",0
"nsib",0
"brthord",0
"isei",0
"hisei",0
"fisced",0
"misced",0
"cultcom",0
"soccom",0
"famedsup",0
"wealth",0
"hedres",0
"cultactv",0
"cultposs",0
"hmwktime",0
"teachsup",0
"disclima",0
"studrel",0
"achpress",0
"belong",0
"joyread",0
"divread",0
"comab",0
"comuse",0
"comatt",0
"cstrat",0
"effper",0
"memor",0
"selfef",0
"cexp",0
"elab",0
"insmot",0
"intmat",0
"matcon",0
"intrea",0
"scacad",0
"scverb",0
"comlrn",0
"coplrn",0
"wleread",0
"wlerr_r",0
"wleread1",0
"wlerr_r1",0
"wleread2",0
"wlerr_r2",0
"wleread3",0
"wlerr_r3",0
"pv1read",0
"pv2read",0
"pv3read",0
"pv4read",0
"pv5read",0
"pv1read1",0
"pv2read1",0
"pv3read1",0
"pv4read1",0
"pv5read1",0
"pv1read2",0
"pv2read2",0
"pv3read2",0
"pv4read2",0
"pv5read2",0
"pv1read3",0
"pv2read3",0
"pv3read3",0
"pv4read3",0
"pv5read3",0
"w_fstuwt",0
"cntrfac",0
"w_fstr1",0
"w_fstr2",0
"w_fstr3",0
"w_fstr4",0
"w_fstr5",0
"w_fstr6",0
"w_fstr7",0
"w_fstr8",0
"w_fstr9",0
"w_fstr10",0
"w_fstr11",0
"w_fstr12",0
"w_fstr13",0
"w_fstr14",0
"w_fstr15",0
"w_fstr16",0
"w_fstr17",0
"w_fstr18",0
"w_fstr19",0
"w_fstr20",0
"w_fstr21",0
"w_fstr22",0
"w_fstr23",0
"w_fstr24",0
"w_fstr25",0
"w_fstr26",0
"w_fstr27",0
"w_fstr28",0
"w_fstr29",0
"w_fstr30",0
"w_fstr31",0
"w_fstr32",0
"w_fstr33",0
"w_fstr34",0
"w_fstr35",0
"w_fstr36",0
"w_fstr37",0
"w_fstr38",0
"w_fstr39",0
"w_fstr40",0
"w_fstr41",0
"w_fstr42",0
"w_fstr43",0
"w_fstr44",0
"w_fstr45",0
"w_fstr46",0
"w_fstr47",0
"w_fstr48",0
"w_fstr49",0
"w_fstr50",0
"w_fstr51",0
"w_fstr52",0
"w_fstr53",0
"w_fstr54",0
"w_fstr55",0
"w_fstr56",0
"w_fstr57",0
"w_fstr58",0
"w_fstr59",0
"w_fstr60",0
"w_fstr61",0
"w_fstr62",0
"w_fstr63",0
"w_fstr64",0
"w_fstr65",0
"w_fstr66",0
"w_fstr67",0
"w_fstr68",0
"w_fstr69",0
"w_fstr70",0
"w_fstr71",0
"w_fstr72",0
"w_fstr73",0
"w_fstr74",0
"w_fstr75",0
"w_fstr76",0
"w_fstr77",0
"w_fstr78",0
"w_fstr79",0
"w_fstr80",0
"read_waf",0
"schstdID",0
"wlemath",44.5880149812734
"wlerr_m",44.5880149812734
"pv1math",44.5880149812734
"pv2math",44.5880149812734
"pv3math",44.5880149812734
"pv4math",44.5880149812734
"pv5math",44.5880149812734
"cntmfac",44.5880149812734
"math_waf",44.5880149812734
"pv1math1",44.5880149812734
"pv2math1",44.5880149812734
"pv3math1",44.5880149812734
"pv4math1",44.5880149812734
"pv5math1",44.5880149812734
"pv1math2",44.5880149812734
"pv2math2",44.5880149812734
"pv3math2",44.5880149812734
"pv4math2",44.5880149812734
"pv5math2",44.5880149812734
"wlescie",44.4756554307116
"wlerr_s",44.4756554307116
"pv1scie",44.4756554307116
"pv2scie",44.4756554307116
"pv3scie",44.4756554307116
"pv4scie",44.4756554307116
"pv5scie",44.4756554307116
"cntsfac",44.4756554307116
"scie_waf",44.4756554307116
"sc01q01",0
"sc02q01",0
"sc02q02",0
"sc03q01",0
"sc04q01",0
"sc04q02",0
"sc04q03",0
"sc04q04",0
"sc05q01",0
"sc05q02",0
"sc05q03",0
"sc05q04",0
"sc05q05",0
"sc05q06",0
"sc05q07",0
"sc05q08",0
"sc05q09",0
"sc05q10",0
"sc05q11",0
"sc05q12",0
"sc05q13",0
"sc05q14",0
"sc06q01",0
"sc06q02",0
"sc06q03",0
"sc07q01",0
"sc07q02",0
"sc07q03",0
"sc07q04",0
"sc07q05",0
"sc07q06",0
"sc07q07",0
"sc08q01",0
"sc08q02",0
"sc08q03",0
"sc08q04",0
"sc08q05",0
"sc08q06",0
"sc09q01",0
"sc09q02",0
"sc09q03",0
"sc09q04",0
"sc09q05",0
"sc10q01",0
"sc10q02",0
"sc10q03",0
"sc10q04",0
"sc10q05",0
"sc10q06",0
"sc11q01",0
"sc11q02",0
"sc11q03",0
"sc11q04",0
"sc11q05",0
"sc11q06",0
"sc11q07",0
"sc11q08",0
"sc11q09",0
"sc12q01",0
"sc12q02",0
"sc12q03",0
"sc12q04",0
"sc12q05",0
"sc13q01",0
"sc13q02",0
"sc13q03",0
"sc13q04",0
"sc13q05",0
"sc13q06",0
"sc14q01",0
"sc14q02",0
"sc14q03",0
"sc14q04",0
"sc14q05",0
"sc14q06",0
"sc14q07",0
"sc14q08",0
"sc14q09",0
"sc14q10",0
"sc14q11",0
"sc14q12",0
"sc14q13",0
"sc14q14",0
"sc14q15",0
"sc14q16",0
"sc14q17",0
"sc14q18",0
"sc15q01",0
"sc16q01",0
"sc16q02",0
"sc16q03",0
"sc16q04",0
"sc16q05",0
"sc17q01",0
"sc17q02",0
"sc17q03",0
"sc18q01",0
"sc18q02",0
"sc18q03",0
"sc18q04",0
"sc18q05",0
"sc18q06",0
"sc19q01",0
"sc19q02",0
"sc19q03",0
"sc19q04",0
"sc19q05",0
"sc19q06",0
"sc19q07",0
"sc19q08",0
"sc19q09",0
"sc19q10",0
"sc19q11",0
"sc19q12",0
"sc19q13",0
"sc19q14",0
"sc19q15",0
"sc19q16",0
"sc19q17",0
"sc20q01",0
"sc20q02",0
"sc20q03",0
"sc20q04",0
"sc21q01",0
"sc21q02",0
"sc21q03",0
"sc21q04",0
"sc21q05",0
"sc22q01",0
"sc22q02",0
"sc22q03",0
"sc22q04",0
"sc22q05",0
"sc22q06",0
"sc22q07",0
"sc22q08",0
"sc22q09",0
"sc22q10",0
"sc22q11",0
"sc22q12",0
"schlsize",0
"pcgirls",0
"schltype",0
"tothrs",0
"ratcomp",0
"percomp1",0
"percomp2",0
"percomp3",0
"percomp4",0
"percomp5",0
"stratio",0
"propqual",0
"propcert",0
"propread",0
"propmath",0
"propscie",0
"scmatedu",0
"tcshort",0
"teacbeha",0
"studbeha",0
"tcmorale",0
"schauton",0
"tchparti",0
"scmatbui",0
"wnrschbw",0
